Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,School
Bryce Ford,4,JR,G,6-2,175.0,"Scottsdale, AZ",Pinnacle (AZ),,"7.2 Pts, 1.7 Reb, 0.8 Ast",Arizona State
Allen David Mukeba,23,SR,F,6-7,235.0,"Charleroi, Belgium",Napa Christian (CA),,"5.7 Pts, 3.7 Reb, 0.8 Ast",Arizona State
Noah Meeusen,15,SO,G,6-5,209.0,"Zandvliet, Belgium",,,"6.3 Pts, 3.0 Reb, 2.6 Ast",Arizona State
Marcus Adams,8,JR,F,6-8,220.0,"Torrance, CA",Nathaniel Narbonne (CA),57 (2023),"3.6 Pts, 2.4 Reb, 0.2 Ast",Arizona State
Trevor Best,12,SO,G,6-2,180.0,"Wilson, NC",Word of God Christian Academy (NC),,"1.1 Pts, 0.6 Reb, 0.1 Ast",Arizona State
Quentin McCoy,22,SO,G,6-2,165.0,"Chicago, IL",Lindblom (IL),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Arizona State
Kash Polk,11,FR,F,6-10,200.0,"Argyle, TX",Argyle (TX),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Arizona State
Adante’ Holiman,3,SR,G,6-0,160.0,"McAlester, OK",McAlester (OK),,,Arizona State
Jovan Icitovic,70,FR,F,6-9,235.0,"Belgrade, Serbia",,,,Arizona State
Dame Salane,24,FR,C,7-1,195.0,"Biella, Italy",Stafford (TX),,,Arizona State
Vijay Wallace,7,JR,G,6-5,175.0,"Chicago, IL",Dyett (IL),,,Arizona State
Darius Acuff,5,FR,G,6-3,190.0,"Detroit, MI",Cass Technical (MI); IMG Academy (FL),10 (2025),"22.3 Pts, 3.0 Reb, 6.2 Ast",Arkansas
Meleek Thomas,1,FR,G,6-5,185.0,"Pittsburgh, PA",Lincoln Park Performing Arts (PA),12 (2025),"15.3 Pts, 3.8 Reb, 2.7 Ast",Arkansas
Trevon Brazile,7,SR,F,6-9,215.0,"Springfield, MO",Kickapoo HS,,"12.7 Pts, 7.2 Reb, 1.4 Ast",Arkansas
Billy Richmond,24,SO,F,6-5,205.0,"Memphis, TN",Memphis East (TN); Camden (NJ),27 (2024),"10.0 Pts, 3.8 Reb, 1.8 Ast",Arkansas
Malique Ewin,12,JR,F,6-10,220.0,"Lawrenceville, GA",Berkmar (GA),95 (2022),"9.0 Pts, 4.8 Reb, 0.8 Ast",Arkansas
Karter Knox,11,SO,F,6-6,220.0,"Tampa, FL",Tampa Catholic (FL); Overtime Elite RWE (GA),22 (2024),"8.1 Pts, 4.5 Reb, 1.2 Ast",Arkansas
D.J. Wagner,21,JR,G,6-3,175.0,"Camden, NJ",Camden (NJ),6 (2023),"7.2 Pts, 1.2 Reb, 2.5 Ast",Arkansas
Nick Pringle,23,SR,F,6-9,220.0,"Seabrook, SC",Whale Branch (SC),,"5.1 Pts, 4.2 Reb, 0.7 Ast",Arkansas
Isaiah Sealy,30,FR,F,6-7,195.0,"Springdale, AR",Springdale (AR),93 (2025),"3.9 Pts, 1.6 Reb, 0.8 Ast",Arkansas
Jaden Karuletwa,0,SO,G,6-5,185.0,"Sun Valley, CA",Santa Clara Christian (CA); Village Christian (CA),,"0.6 Pts, 0.4 Reb, 0.1 Ast",Arkansas
Ayden Kelley,14,SO,G,5-10,170.0,"Memphis, TN",Northpoint Christian (MS),,"0.6 Pts, 0.0 Reb, 0.0 Ast",Arkansas
Elmir Dzafic,15,FR,C,7-0,285.0,"Tuzla, Bosnia and Herzegovina",Buducnost Bijeljina (Bosnia & Herzegovina); KK Bosna Sarajevo (Bosnia & Herzegovina),,"0.4 Pts, 0.1 Reb, 0.0 Ast",Arkansas
Amere Brown,2,FR,G,5-9,180.0,"Pittsburgh, PA",Woodland Hills (PA),,"0.1 Pts, 0.0 Reb, 0.0 Ast",Arkansas
Karim Rtail,35,FR,F,6-7,205.0,"Beirut, Lebanon",Sagesse SC (Lebanon); Neptūnas-Akvaservis (Lithuania),,,Arkansas
Paulo Semedo,99,FR,C,7-1,225.0,"Luanda, Angola",West Oaks Academy (FL),96 (2025),,Arkansas
Christian Harmon,5,JR,G,6-6,209.0,"Rochester, NY",Wilson Magnet (NY); Buchtel (OH),,"13.0 Pts, 3.9 Reb, 2.5 Ast",Arkansas State
Kyle Hayman,1,SR,G,6-5,200.0,"Delhi, LA",Ouachita Parish (LA),,"11.3 Pts, 3.1 Reb, 2.2 Ast",Arkansas State
Chandler Jackson,0,SR,G,6-5,215.0,"Memphis, TN",Christian Brothers (TN),83 (2022),"10.8 Pts, 3.4 Reb, 4.5 Ast",Arkansas State
Jaxon Ellingsworth,22,SR,G,6-9,205.0,"Morehead City, NC",West Carteret (NC),,"9.4 Pts, 5.1 Reb, 0.7 Ast",Arkansas State
TJ Caldwell,2,SO,G,6-4,190.0,"Dallas, TX",Faith Family Academy (TX),,"9.2 Pts, 2.6 Reb, 1.0 Ast",Arkansas State
Jalen Hampton,12,SR,G,6-6,190.0,"St. Louis, MO",University City (MO),,"8.0 Pts, 8.8 Reb, 1.6 Ast",Arkansas State
Joey Chammaa,20,SO,G,5-11,180.0,"Los Angeles, CA",Crossroads School (CA),,"9.6 Pts, 1.8 Reb, 1.6 Ast",Arkansas State
Royal Blue Smith,3,FR,G,6-4,198.0,"Parkland, FL",Gillion Academy (VA),,"5.3 Pts, 1.7 Reb, 1.1 Ast",Arkansas State
Chudi Dioramma,10,SO,F,6-10,245.0,"London, United Kingdom",Haringey Sixth Form (United Kingdom),,"5.1 Pts, 4.1 Reb, 0.7 Ast",Arkansas State
Aly Tounkara,13,SO,F,7-0,215.0,"Conakry, Guinea",NBA Academy Africa (Senegal); Principia (MO),,"3.7 Pts, 5.0 Reb, 0.5 Ast",Arkansas State
Fredy-Salam Sylla,21,SO,G,6-4,210.0,"Paris, France",Potter's House Christian (FL),,"4.2 Pts, 2.0 Reb, 0.3 Ast",Arkansas State
Grayson Bennett,7,FR,F,6-10,192.0,"Houston, TX",Fulshear (TX); La Lumiere (IN),,,Arkansas State
CJ Geathers,15,FR,G,6-5,195.0,"Lithia Springs, GA",Chapel Hill (GA),,,Arkansas State
Weston Honeycutt,8,FR,G,6-4,182.0,"Jonesboro, AR",Westside (AR),,,Arkansas State
Tim Matthews,4,FR,G,6-4,180.0,"Memphis, TN",Cleveland (TN),,,Arkansas State
Rho Omed,23,FR,F,6-10,200.0,"Calgary, Canada",The Academy Prep (GA); SPIRE Academy (OH),,,Arkansas State
Quion Williams,13,SR,G,6-4,208.0,"Jonesboro, AR",Jonesboro (AR),,"17.5 Pts, 7.9 Reb, 5.6 Ast",Arkansas-Pine Bluff
Jaquan Scott,4,SR,F,6-8,230.0,"Dallas, TX",Mansfield Timberview (TX); Universal Academy (TX); TLAP Sports Academy (FL),,"15.5 Pts, 6.8 Reb, 1.2 Ast",Arkansas-Pine Bluff
Alex Mirhosseini,1,SR,G,5-10,165.0,"Arlington, TX",Martin (TX),,"11.6 Pts, 2.3 Reb, 2.6 Ast",Arkansas-Pine Bluff
Trevon Payton,20,JR,G,6-5,215.0,"Lilburn, GA",Shiloh (GA),,"10.0 Pts, 3.8 Reb, 2.7 Ast",Arkansas-Pine Bluff
Milhan Charles,9,FR,F,6-7,215.0,"Bristol, CT",,,"10.7 Pts, 4.4 Reb, 1.6 Ast",Arkansas-Pine Bluff
Ramel Lloyd,22,SO,G,6-6,204.0,"Long Beach, CA",Sierra Canyon (CA),,"6.9 Pts, 2.3 Reb, 0.8 Ast",Arkansas-Pine Bluff
Ahmad Johnson,10,SR,G,6-4,195.0,"Punta Gorda, FL",Charlotte (FL),,"4.1 Pts, 0.9 Reb, 0.8 Ast",Arkansas-Pine Bluff
Jai’chaunn Hayes,2,FR,G,6-7,205.0,"White Hall, AR",White Hall (AR),,"6.1 Pts, 1.3 Reb, 0.6 Ast",Arkansas-Pine Bluff
Anthony Sellars,3,SR,G,6-7,215.0,"Winston-Salem, NC",Quality Education Academy (NC),,"2.8 Pts, 1.1 Reb, 0.2 Ast",Arkansas-Pine Bluff
Kyle Brown,24,SR,F,6-9,240.0,"Plantation, FL",Dillard (FL),,"1.6 Pts, 2.3 Reb, 0.6 Ast",Arkansas-Pine Bluff
Dennis Asoro,15,SR,F,6-8,250.0,"Columbus, OH",Eastmoor Academy (OH),,"1.0 Pts, 1.2 Reb, 0.2 Ast",Arkansas-Pine Bluff
Travis Pourciau,33,SR,C,6-10,210.0,"Colorado Springs, CO",Coronado (CO),,"0.3 Pts, 0.3 Reb, 0.0 Ast",Arkansas-Pine Bluff
Harrison Pickett,23,FR,G,6-2,210.0,"Little Rock, AR",Parkview Arts and Science Magnet (AR),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Arkansas-Pine Bluff
Trejon Ware,0,SR,G,5-9,160.0,"Pearland, TX",Pearland (TX),,"0.0 Pts, 1.0 Reb, 1.0 Ast",Arkansas-Pine Bluff
Jahmari Hamilton-Brown,8,JR,G,6-7,205.0,"Malden, MA",Malden Catholic (MA),,,Arkansas-Pine Bluff
Ryan Curry,2,JR,G,6-0,174.0,"Montgomery, NJ",Montgomery (NJ); USMA Prep School (NY),,"14.0 Pts, 4.2 Reb, 4.6 Ast",Army
Jaxson Bell,4,SO,G,6-3,210.0,"Indianapolis, IN",North Central (IN),,"11.6 Pts, 4.7 Reb, 1.1 Ast",Army
Jacen Holloway,10,SO,F,6-4,225.0,"Schwenksville, PA",Devon Prep (PA); U.S. Military Academy Prep (NY),,"10.8 Pts, 3.6 Reb, 2.1 Ast",Army
Jackson Furman,1,FR,G,6-3,180.0,"Upper Marlboro, MD",Riverdale Baptist (MD),,"9.9 Pts, 3.5 Reb, 1.4 Ast",Army
Jorn Everson,54,SR,F,6-8,210.0,"Williston, ND",Williston (ND); Northfield Mount Hermon (MA),,"8.1 Pts, 2.3 Reb, 0.9 Ast",Army
Kevin McCarthy,22,SO,G,6-4,185.0,"West Chester, PA",Episcopal Academy (PA),,"7.3 Pts, 2.6 Reb, 1.3 Ast",Army
Tate Laczkowski,32,JR,F,6-8,198.0,"Dallas, TX",St. Marks (TX); Wilbraham and Monson (MA),,"4.7 Pts, 5.6 Reb, 1.9 Ast",Army
Joshua Eli,5,SO,F,6-6,210.0,"Woodbury, NJ",Paul VI (NJ); U.S. Military Academy Prep (NY),,"4.6 Pts, 3.9 Reb, 0.9 Ast",Army
Jackson Mayo,21,SR,G,6-0,182.0,"Mililani, HI",Mililani (HI),,"1.9 Pts, 0.6 Reb, 0.5 Ast",Army
Dylan Benner,23,FR,F,6-7,225.0,"Ventura, CA",Saint Bonaventure (CA),,"1.5 Pts, 0.6 Reb, 0.2 Ast",Army
Dillon Watt,13,FR,G,5-11,177.0,"Plano, TX",Greenhill School (TX),,"1.2 Pts, 0.2 Reb, 0.3 Ast",Army
Alex Engro,24,SO,G,6-2,190.0,"Glenview, IL",Loyola Academy (IL),,"0.9 Pts, 1.3 Reb, 0.3 Ast",Army
Jahaan Green,25,FR,G,6-5,195.0,"Swedesboro, NJ",Eastside (NJ),,"1.1 Pts, 0.4 Reb, 0.2 Ast",Army
Brendon O'Keefe,14,SO,G,5-10,180.0,"New Rochelle, NY",Regis (NY),,"1.3 Pts, 0.7 Reb, 0.4 Ast",Army
Dylan Murans,12,SO,F,6-7,190.0,"Carmel, IN",Guerin Catholic (IN),,"0.6 Pts, 0.5 Reb, 0.0 Ast",Army
Dayon Polk,0,SO,G,6-1,175.0,"Wilmington, DE",Sanford School (DE); U.S. Military Academy Prep (NY),,"0.7 Pts, 1.2 Reb, 0.6 Ast",Army
Nnaemeka Ikechi,34,SO,F,6-7,230.0,"Warren, MI",De La Salle Collegiate (MI),,"0.0 Pts, 1.7 Reb, 0.7 Ast",Army
Chanse Perkins,15,SR,F,6-4,210.0,"Houston, TX",Woodlands Christian (TX),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Army
Keyshawn Hall,7,SR,G,6-7,250.0,"Cleveland, OH",Cleveland Heights (OH); The Skills Factory (GA); Denver Prep (CO),,"21.0 Pts, 7.0 Reb, 2.7 Ast",Auburn
Tahaad Pettiford,0,SO,G,6-1,175.0,"Jersey City, NJ",Hudson Catholic (NJ),28 (2024),"15.0 Pts, 2.9 Reb, 3.6 Ast",Auburn
Kevin Overton,1,JR,G,6-5,180.0,"Oklahoma City, OK",Midwest City (OK); Norman North (OK); Sunrise Christian (KS),,"12.3 Pts, 3.3 Reb, 1.1 Ast",Auburn
KeShawn Murphy,3,SR,F,6-10,245.0,"Birmingham, AL",Ramsay HS,,"10.8 Pts, 7.2 Reb, 1.2 Ast",Auburn
Elyjah Freeman,6,SO,G,6-8,185.0,"Palm Beach, FL",Wellington (FL),,"9.2 Pts, 4.8 Reb, 1.2 Ast",Auburn
Sebastian Williams-Adams,33,FR,F,6-8,230.0,"Houston, TX",St. John's (TX),47 (2025),"7.5 Pts, 3.5 Reb, 1.7 Ast",Auburn
Filip Jovic,38,FR,F,6-8,225.0,"Bijeljina, Bosnia and Herzegovina",OKK Spars (Serbia); OKK Beograd (Serbia); KK Mega Basket (Serbia),,"6.0 Pts, 4.2 Reb, 0.4 Ast",Auburn
Kaden Magwood,5,FR,G,6-2,175.0,"Louisville, KY",Western (KY); Oak Hill Academy (VA); Combine Academy (NC),59 (2025),"3.3 Pts, 1.1 Reb, 1.9 Ast",Auburn
Simon Walker,10,FR,G,6-4,195.0,"Huntsville, AL",Huntsville (AL),,"2.7 Pts, 0.5 Reb, 0.2 Ast",Auburn
Emeka Opurum,14,SO,C,7-0,205.0,"Lagos, Nigeria",Trinity International College (Nigeria),,"3.8 Pts, 2.5 Reb, 0.2 Ast",Auburn
Abdullahi Bashir,2,JR,G,6-7,165.0,"Omaha, NE",Colorado Prep (CO),,"2.0 Pts, 0.5 Reb, 0.5 Ast",Auburn
Blake Muschalek,21,JR,G,6-3,178.0,"Dallas, TX",Trinity Christian Academy (TX),,"0.6 Pts, 0.6 Reb, 0.2 Ast",Auburn
CJ Williams,13,SR,G,6-1,155.0,"Fayetteville, AR",Fayetteville (AR),,"1.0 Pts, 0.0 Reb, 0.7 Ast",Auburn
Drake Cardwell,17,SO,G,6-5,185.0,"Augusta, GA",Evans (GA),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Auburn
Reed Trapp,22,SR,G,6-6,188.0,"Muscle Shoals, AL",Covenant Christian School (AL),,"0.0 Pts, 0.3 Reb, 0.0 Ast",Auburn
Jeremiah Bowman,20,FR,F,6-7,205.0,"Glassboro, NJ",Wilson Academy (GA),,,Auburn
Bradley Pearson,24,SO,G,6-1,160.0,"Auburn, AL",Auburn (AL),,,Auburn
Joah Shay,12,SO,G,5-6,135.0,"Winston-Salem, NC",Science Hill (TN); Mount Tabor (NC),,,Auburn
Collin Parker,32,SR,F,6-8,227.0,"Montgomery City, MO",Montgomery County (MO),,"17.9 Pts, 5.9 Reb, 2.9 Ast",Austin Peay
Rashaud Marshall,5,JR,F,6-8,220.0,"Blytheville, AR",Blytheville (AR),99 (2023),"14.2 Pts, 6.5 Reb, 1.0 Ast",Austin Peay
Zyree Collins,1,FR,G,6-0,187.0,"St. Louis, MO",St. Mary's South Side Catholic (MO),,"14.0 Pts, 2.9 Reb, 4.2 Ast",Austin Peay
Tate McCubbin,0,SO,F,6-8,174.0,"Columbia, MO",Battle (MO),,"10.1 Pts, 5.0 Reb, 1.5 Ast",Austin Peay
Anton Brookshire,12,SR,G,6-1,170.0,"Springfield, MO",Kickapoo HS,,"8.3 Pts, 1.9 Reb, 2.7 Ast",Austin Peay
Ja'Corey Robinson,23,FR,G,6-6,211.0,"Topeka, KS",Highland Park (KS),,"7.1 Pts, 3.2 Reb, 2.0 Ast",Austin Peay
Matt Enright,3,SR,G,6-1,179.0,"St. Louis, MO",Webster Groves (MO),,"5.0 Pts, 1.2 Reb, 1.2 Ast",Austin Peay
Travis Torain,22,SO,G,6-6,203.0,"Surprise, AZ",Dream City Christian (AZ),,"2.2 Pts, 2.5 Reb, 0.1 Ast",Austin Peay
Tyler Wagner,2,FR,G,6-5,197.0,"Brooklyn Park , MN",Totino Grace (MN); Champlin Park (MN),,"1.9 Pts, 1.0 Reb, 0.1 Ast",Austin Peay
Creighton Morisch,7,SR,C,6-10,229.0,"Spirit Lake, IA",Spirit Lake (IA),,"1.3 Pts, 1.8 Reb, 0.4 Ast",Austin Peay
Quan Lax,20,SR,G,6-2,188.0,"Bolivar, TN",Bolivar (TN),,"2.4 Pts, 1.6 Reb, 0.9 Ast",Austin Peay
Hansel Enmanuel,24,SR,G,6-6,165.0,"Santo Domingo, Dominican Republic",Life Christian (FL),,"1.5 Pts, 1.5 Reb, 0.0 Ast",Austin Peay
Terrell Gaines,10,SO,G,5-8,155.0,"West Plains, MO","Liberty (Mountain View, MO)",,"1.8 Pts, 0.2 Reb, 0.0 Ast",Austin Peay
Davion Hill,2,SO,G,6-2,225.0,"Williamsport, PA",Neumann Regional (PA),,"12.7 Pts, 4.2 Reb, 2.1 Ast",Ball State
Armoni Zeigler,5,JR,G,6-4,185.0,"Amityville, NY","Our Savior Lutheran (Bronx, NY)",,"12.1 Pts, 5.0 Reb, 2.8 Ast",Ball State
Devon Barnes,13,SR,G,6-0,171.0,"Hinesville, GA",Shiloh (GA),,"9.2 Pts, 1.5 Reb, 1.8 Ast",Ball State
Elmore James,1,SR,G,6-3,205.0,"Cleveland, OH",Brush (OH),,"7.7 Pts, 1.5 Reb, 0.8 Ast",Ball State
Kayden Fish,4,SO,F,6-6,250.0,"Kansas City, MO",Staley (MO),,"7.1 Pts, 3.5 Reb, 0.6 Ast",Ball State
Juwan Maxey,3,SR,G,6-1,165.0,"Detroit, MI",Renaissance (MI),,"6.5 Pts, 1.9 Reb, 1.2 Ast",Ball State
Mason Jones,24,JR,F,6-7,219.0,"Valparaiso, IN",Valparaiso (IN),,"4.5 Pts, 4.2 Reb, 1.7 Ast",Ball State
Preston Copeland,34,FR,F,6-9,215.0,"Clayton, NC",Combine Academy (NC),,"4.2 Pts, 4.2 Reb, 0.3 Ast",Ball State
Cam Denson,7,SR,F,6-7,210.0,"Compton, CA",Compton (CA),,"3.7 Pts, 3.2 Reb, 0.9 Ast",Ball State
Joey Hart,20,JR,G,6-5,203.0,"Linton, IN",Linton-Stockton (IN),,"9.0 Pts, 1.8 Reb, 1.0 Ast",Ball State
Jai Anthoni Bearden,0,SO,F,6-6,185.0,"Phoenix, AZ",Sunnyslope (AZ),,"2.2 Pts, 0.6 Reb, 0.1 Ast",Ball State
Kody Clancy,11,SO,G,6-4,191.0,"Scottsburg, IN",Scottsburg (IN),,"1.8 Pts, 0.1 Reb, 0.6 Ast",Ball State
Easton Foster,23,FR,F,6-6,180.0,"Parker City , IN",Monroe Central (IN),,"1.6 Pts, 1.0 Reb, 0.2 Ast",Ball State
Alex Farley,45,FR,G,6-1,177.0,"Rossville, IN",Frankfort (IN); Clinton Prairie (IN),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Ball State
Cameron Carr,43,JR,G,6-5,175.0,"Eden Prairie, MN",Manhattan (KS); Link Academy (MO),55 (2023),"18.9 Pts, 5.8 Reb, 2.7 Ast",Baylor
Tounde Yessoufou,24,FR,G,6-5,215.0,"Cotonou, Benin","St. Joseph (Santa Maria, CA)",11 (2025),"18.2 Pts, 5.7 Reb, 1.7 Ast",Baylor
Obi Agbim,5,SR,G,6-3,180.0,"Aurora, CO",Rangeview (CO),,"11.0 Pts, 2.5 Reb, 3.2 Ast",Baylor
Isaac Williams,10,SO,G,6-2,180.0,"Oklahoma City, OK",Putnam City (OK); Oak Cliff Faith Family Academy (TX),,"10.1 Pts, 2.2 Reb, 2.9 Ast",Baylor
Daniel Skillings,0,SR,G,6-6,205.0,"Blackwood, NJ",Roman Catholic (PA),81 (2022),"10.2 Pts, 6.5 Reb, 2.3 Ast",Baylor
Michael Rataj,12,SR,F,6-9,220.0,"Augsburg, Germany",Ratiopharm Ulm (Germany),,"8.0 Pts, 5.3 Reb, 2.1 Ast",Baylor
Caden Powell,44,SR,F,6-10,206.0,"Waco, TX",Midway (TX),,"6.7 Pts, 6.5 Reb, 1.3 Ast",Baylor
James Nnaji,46,FR,C,7-0,250.0,"Makurdi, Nigeria",,,"1.7 Pts, 2.8 Reb, 0.2 Ast",Baylor
Will Kuykendall,2,SO,G,6-3,175.0,"Santa Maria, CA",St. Joseph (CA),,"2.3 Pts, 0.4 Reb, 0.1 Ast",Baylor
Drew Perry,3,FR,G,5-10,162.0,"Dallas, TX",Lakehill Prep (TX),,"1.4 Pts, 0.0 Reb, 0.0 Ast",Baylor
JJ White,1,SR,G,6-2,185.0,"Lawrenceville, GA",Norman North (OK),,"1.5 Pts, 0.8 Reb, 0.0 Ast",Baylor
James Goodis,13,JR,G,6-0,175.0,"Winter Park, FL",Montverde Academy (FL),,"5.0 Pts, 0.0 Reb, 0.0 Ast",Baylor
Juslin Bodo Bodo,21,JR,C,7-0,240.0,"Yaoundé, Cameroon",Southern California Academy (CA),,,Baylor
Andre Iguodala II,7,FR,G,6-7,170.0,"Lafayette, CA",Head-Royce (CA); Link Academy (MO),,,Baylor
Maikcol Perez,20,FR,F,6-8,215.0,"Bassano del Grappa, Italy",Orange1 Bassano (Italy),91 (2025),,Baylor
Mayo Soyoye,15,FR,C,6-10,234.0,"Atlanta, GA",Chapel Hill (GA); Blair Academy (NJ),,,Baylor
Jack Karasinski,32,JR,F,6-7,206.0,"Grand Rapids, MI",Grand Rapids Catholic Central (MI),,"20.2 Pts, 4.9 Reb, 1.2 Ast",Bellarmine
Brian Waddell,11,SR,F,6-7,185.0,"Carmel, IN",Carmel HS,,"14.7 Pts, 4.0 Reb, 2.1 Ast",Bellarmine
Kenyon Goodin,8,JR,G,6-3,190.0,"Shelbyville, KY",Collins (KY),,"12.1 Pts, 2.9 Reb, 2.1 Ast",Bellarmine
Tyler Doyle,2,SO,G,6-5,185.0,"Lexington, KY",Lexington Catholic (KY),,"9.1 Pts, 2.8 Reb, 3.5 Ast",Bellarmine
Michael Wilson,24,SO,F,6-6,195.0,"Charlotte, NC",Metrolina Christian (NC); Fork Union (VA),,"6.4 Pts, 2.1 Reb, 0.7 Ast",Bellarmine
Sam Donald,23,FR,F,6-8,195.0,"Columbia, IL",Columbia (IL),,"6.3 Pts, 3.1 Reb, 2.2 Ast",Bellarmine
Donovan Hunter,7,JR,F,6-8,197.0,"Columbus, OH",Westerville Central (OH); Spire Academy (OH),,"4.8 Pts, 1.9 Reb, 0.6 Ast",Bellarmine
Myles Watkins,5,SR,G,6-3,185.0,"Frisco, TX",Centennial (TX),,"3.5 Pts, 0.9 Reb, 1.1 Ast",Bellarmine
Jacob Wassler,44,FR,C,6-11,230.0,"Cincinnati, OH",St. Xavier (OH),,"3.5 Pts, 2.9 Reb, 0.5 Ast",Bellarmine
Grant Whitaker,10,JR,G,6-4,185.0,"Murray, KY",Murray (KY),,"1.7 Pts, 1.2 Reb, 0.8 Ast",Bellarmine
Darrius Bolden,22,SR,G,6-1,185.0,"Milwaukee, WI",Nicolet Union (WI),,"1.3 Pts, 0.9 Reb, 1.8 Ast",Bellarmine
Grant Neal,4,SO,G,6-3,180.0,"Prospect, KY",North Oldham (KY),,"3.3 Pts, 0.6 Reb, 0.1 Ast",Bellarmine
Tommy Clark,0,FR,G,6-3,175.0,"Kings Mills, OH",Kings (OH),,"1.9 Pts, 0.3 Reb, 0.3 Ast",Bellarmine
Dominique Murphy,14,FR,F,6-5,180.0,"East Chicago, IN",East Chicago Central (IN),,"2.0 Pts, 1.5 Reb, 0.3 Ast",Bellarmine
Luke Anderson,15,JR,F,6-8,185.0,"Goshen, KY",North Oldham (KY),,,Bellarmine
Ant McAfee,1,FR,G,6-6,170.0,"Peoria, IL",Warren Central (KY),,,Bellarmine
Tyler Lundblade,8,SR,G,6-6,207.0,"Dallas, TX",Greensboro Day School,,"15.9 Pts, 2.6 Reb, 1.7 Ast",Belmont
Sam Orme,14,SO,F,6-8,215.0,"Carmel, IN",Carmel (IN),,"12.7 Pts, 5.4 Reb, 1.8 Ast",Belmont
Drew Scharnowski,11,JR,F,6-9,215.0,"Burlington, IL",Burlington Central (IL),,"10.9 Pts, 6.1 Reb, 2.6 Ast",Belmont
Jabez Jenkins,10,SO,G,6-4,185.0,"Covington, GA",Newton (GA),,"9.0 Pts, 4.9 Reb, 1.2 Ast",Belmont
Jack Smiley,2,FR,G,6-2,170.0,"Valparaiso, IN",Valparaiso (IN); La Lumiere School (IN),,"8.2 Pts, 1.8 Reb, 2.4 Ast",Belmont
Eoin Dillon,5,SO,F,6-9,200.0,"Peoria, IL",Notre Dame (IL),,"7.7 Pts, 2.5 Reb, 1.3 Ast",Belmont
Brigham Rogers,12,JR,F,6-9,240.0,"Woodstock, GA",Blessed Trinity (GA),,"7.0 Pts, 4.2 Reb, 1.7 Ast",Belmont
Nic McClain,1,SR,G,6-3,185.0,"Jennings, FL",Suwanee (FL),,"10.4 Pts, 4.3 Reb, 6.3 Ast",Belmont
Isaiah West,3,JR,G,6-2,190.0,"Springfield, TN",Goodpasture Christian (TN),,"3.0 Pts, 2.5 Reb, 1.7 Ast",Belmont
Win Miller,0,JR,G,6-3,185.0,"Vestavia Hills, AK",Vestavia Hills (AK),,"3.0 Pts, 0.8 Reb, 0.6 Ast",Belmont
Aidan Noyes,4,SR,F,6-7,190.0,"Cincinnati, OH",Archbishop Moeller (OH),,"5.7 Pts, 1.7 Reb, 0.1 Ast",Belmont
Cooper Haynes,13,SO,G,6-2,185.0,"Memphis, TN",Briarcrest Christian (TN),,"1.4 Pts, 0.4 Reb, 0.3 Ast",Belmont
Keith Robbins,24,JR,G,6-5,175.0,"Milledgeville, GA",Georgia Military (GA); Milledge Academy (GA),,"1.1 Pts, 0.3 Reb, 0.2 Ast",Belmont
Graydon Lemke,7,SO,F,6-10,190.0,"Las Vegas, NV",Faith Lutheran (NV),,"0.8 Pts, 0.4 Reb, 0.1 Ast",Belmont
Jake Dykstra,23,SR,G,6-4,180.0,"Nashville, TN",Christ Presbyterian (TN),,"0.0 Pts, 0.4 Reb, 0.2 Ast",Belmont
Jakobi Heady,0,SR,G,6-6,200.0,"Chicago, IL",Hillcrest (IL),,"18.0 Pts, 5.0 Reb, 1.6 Ast",Bethune-Cookman
Daniel Rouzan,23,SR,F,6-9,240.0,"Las Vegas, NV",Bishop Gorman (NV),,"11.7 Pts, 5.0 Reb, 1.2 Ast",Bethune-Cookman
Arterio Morris,1,JR,G,6-3,190.0,"Dallas, TX",Kimball (TX),19 (2022),"11.1 Pts, 3.8 Reb, 2.9 Ast",Bethune-Cookman
Quentin Heady,5,JR,F,6-6,200.0,"Sauk Village, IL",Hillcrest (IL),,"10.1 Pts, 3.6 Reb, 1.1 Ast",Bethune-Cookman
Tyler Andrews,25,SR,G,6-6,190.0,"Cedar Rapids, IA",Kimball Union (IA),,"7.7 Pts, 2.8 Reb, 1.0 Ast",Bethune-Cookman
Jordan Johnson,11,JR,G,6-4,195.0,"West Palm Beach, FL",Wellington (FL),,"4.7 Pts, 1.4 Reb, 0.6 Ast",Bethune-Cookman
Ariel Bland,4,SR,F,6-7,215.0,"Eden Prairie, MN",Golden State Prep,,"4.0 Pts, 5.2 Reb, 1.3 Ast",Bethune-Cookman
Seneca Willoughby,3,SR,G,6-3,185.0,"Philadelphia, PA",Bishop McDevitt (PA),,"4.5 Pts, 3.7 Reb, 3.0 Ast",Bethune-Cookman
Doctor Bradley,13,SR,G,6-8,185.0,"Gardena, CA",Junipero Serra (CA),,"11.9 Pts, 7.5 Reb, 2.8 Ast",Bethune-Cookman
Rickey Mitchell,2,JR,G,6-4,172.0,"Aurora, CO",Smoky Hill (CO),,"4.5 Pts, 1.9 Reb, 1.5 Ast",Bethune-Cookman
